precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
0.0,7.6,0,87.27,0,72.54,0,0,68.2,68.2,82.0,53.4,9.9,0.0,0.0,27406
0.0,8.8,0,246.09,0,73.61,0,0,73.1,73.1,83.9,62.7,9.8,0.0,0.0,26964
0.3,9.6,0,133.64,0,81.15,0,0,71.3,71.3,82.4,62.3,9.1,0.0,0.0,22727
0.17,7.1,0,167.86,0,82.07,0,0,71.5,71.5,81.9,64.7,9.7,0.0,0.0,21343
0.0,8.3,0,222.86,0,73.09,0,0,73.8,73.8,85.5,63.8,9.9,0.0,0.0,25737
0.0,8.0,0,157.08,0,72.91,0,0,74.5,74.5,88.7,60.2,9.7,0.0,0.0,27425
0.0,6.9,0,108.26,0,82.02,0,0,73.6,73.6,81.5,63.7,9.5,0.0,0.0,24090
0.07,8.2,0,128.26,0,79.79,0,0,76.1,76.1,85.6,69.5,9.6,0.0,0.0,20418
0.55,10.8,0,163.75,0,90.66,0,0,72.3,72.3,77.9,68.3,8.2,0.0,0.0,9022
0.04,11.3,0,293.33,0,76.54,0,0,71.4,71.4,77.5,66.0,9.9,0.0,0.0,29165
0.0,10.3,0,339.17,0,54.22,0,0,70.5,70.5,79.8,62.5,9.8,0.0,0.0,24403
0.0,5.7,0,91.0,0,62.12,0,0,67.4,67.4,77.8,53.5,9.9,0.0,0.0,25547
0.34,6.1,0,66.5,0,87.05,0,0,61.9,61.9,72.6,55.2,9.3,0.0,0.0,16520
0.0,6.3,0,61.43,0,81.87,0,0,60.9,60.9,67.5,57.1,9.8,0.0,0.0,19647
0.22,4.7,0,75.88,0,86.58,0,0,57.3,57.3,58.6,55.8,8.0,0.0,0.0,7743
0.0,10.3,0,298.18,0,82.71,0,0,61.9,61.9,68.7,56.2,9.8,0.0,0.0,14693
0.09,4.9,0,46.74,0,85.6,0,0,64.3,64.3,69.8,59.5,8.8,0.0,0.0,15039
0.09,6.4,0,154.09,0,85.0,0,0,66.4,66.4,73.9,57.2,9.9,0.0,0.0,22067
0.0,9.1,0,123.75,0,75.69,0,0,69.2,69.2,82.0,57.1,8.1,0.0,0.0,22905
0.26,8.1,0,116.52,0,78.45,0,0,71.0,71.0,83.1,60.7,9.4,0.0,0.0,21751
0.12,5.7,0,96.19,0,84.55,0,0,70.1,70.1,83.9,62.6,7.1,0.0,0.0,26980
0.06,8.9,0,142.73,0,84.33,0,0,69.7,69.7,78.3,61.3,9.7,0.0,0.0,16777
0.0,6.1,0,214.95,0,76.26,0,0,69.6,69.6,79.4,60.6,9.9,0.0,0.0,25756
0.0,8.8,0,268.57,0,70.47,0,0,71.9,71.9,81.6,64.0,9.9,0.0,0.0,24097
0.01,6.6,0,75.0,0,78.23,0,0,69.5,69.5,80.6,56.9,9.7,0.0,0.0,28126
0.02,8.1,0,246.19,0,77.46,0,0,70.4,70.4,77.0,64.0,7.8,0.0,0.0,17456
0.01,9.4,0,206.96,0,75.24,0,0,72.1,72.1,85.5,61.8,9.0,0.0,0.0,18550
0.06,6.6,0,314.59,0,80.46,0,0,73.5,73.5,83.3,65.7,9.6,0.0,0.0,18284
0.02,7.2,0,274.35,0,81.42,0,0,73.2,73.2,79.8,67.7,9.8,0.0,0.0,17692
0.01,9.0,0,241.74,0,79.25,0,0,73.7,73.7,81.6,67.2,9.6,0.0,0.0,18005
0.0,9.3,0,285.22,0,70.32,0,0,75.3,75.3,86.2,66.2,9.5,0.0,0.0,24602
0.01,6.5,0,121.0,0,74.82,0,0,73.8,73.8,86.4,63.2,9.9,0.0,0.0,21334
0.01,8.9,0,168.71,0,79.72,0,0,74.1,74.1,87.8,65.9,9.8,0.0,0.0,18148
0.0,7.4,0,96.36,0,75.72,0,0,75.5,75.5,86.4,65.1,7.3,0.0,0.0,24540
0.01,6.5,0,85.26,0,80.16,0,0,72.9,72.9,80.8,63.5,8.8,0.0,0.0,21395
0.19,5.4,0,96.67,0,88.31,0,0,71.4,71.4,76.0,66.9,9.2,0.0,0.0,11369
0.31,4.5,0,151.67,0,82.6,0,0,73.0,73.0,83.9,63.9,9.0,0.0,0.0,23763
0.59,4.9,0,116.84,0,87.72,0,0,72.1,72.1,83.8,66.5,9.2,0.0,0.0,20192
1.27,4.7,0,74.5,0,87.97,0,0,71.9,71.9,84.8,64.5,7.0,0.0,0.0,22966
0.0,9.9,0,336.52,0,73.04,0,0,73.2,73.2,82.7,65.0,9.9,0.0,0.0,27340
0.0,8.7,0,166.09,0,77.13,0,0,71.5,71.5,83.2,59.2,9.8,0.0,0.0,25724
0.0,9.7,0,268.26,0,72.44,0,0,74.3,74.3,84.9,63.6,9.7,0.0,0.0,22494
0.0,4.8,0,212.5,0,69.43,0,0,75.2,75.2,87.4,62.5,9.9,0.0,0.0,29551
0.0,6.9,0,83.48,0,73.29,0,0,76.2,76.2,88.2,62.6,9.7,0.0,0.0,23635
0.0,9.3,0,160.95,0,77.8,0,0,78.0,78.0,87.3,70.9,9.3,0.0,0.0,17327
0.0,8.7,0,100.45,0,80.25,0,0,76.9,76.9,88.4,67.4,8.9,0.0,0.0,20941
0.02,7.3,0,184.0,0,80.47,0,0,76.2,76.2,89.4,67.7,9.7,0.0,0.0,19091
0.0,6.9,0,168.64,0,81.14,0,0,75.5,75.5,88.0,67.7,8.7,0.0,0.0,14482
0.09,7.3,0,163.92,0,81.99,0,0,75.2,75.2,88.7,67.8,9.4,0.0,0.0,21403
0.01,9.5,0,156.13,0,84.31,0,0,73.8,73.8,85.9,68.1,7.9,0.0,0.0,14161
0.03,7.0,0,100.2,0,81.29,0,0,73.5,73.5,85.6,63.8,8.3,0.0,0.0,24584
0.69,11.0,0,135.88,0,87.12,0,0,72.2,72.2,81.2,65.6,8.6,0.0,0.0,21420
0.05,6.7,0,110.0,0,93.19,0,0,69.1,69.1,76.7,65.9,7.0,0.0,0.0,10886
0.1,7.5,0,178.75,0,86.63,0,0,71.5,71.5,84.9,64.6,8.3,0.0,0.0,14196
0.05,9.4,0,254.05,0,81.97,0,0,74.5,74.5,86.4,66.2,9.8,0.0,0.0,21004
0.0,9.8,0,247.83,0,83.19,0,0,73.4,73.4,86.3,65.3,9.9,0.0,0.0,24871
0.05,8.0,0,160.87,0,83.13,0,0,72.8,72.8,85.1,63.5,9.5,0.0,0.0,20044
0.06,7.6,0,167.73,0,82.77,0,0,75.1,75.1,85.2,67.5,9.4,0.0,0.0,19763
0.07,11.1,0,161.74,0,85.09,0,0,75.3,75.3,84.0,68.7,9.6,0.0,0.0,15155
0.46,11.0,0,140.91,0,80.85,0,0,76.0,76.0,88.8,68.0,7.3,0.0,0.0,24442
0.04,10.7,0,110.87,0,79.94,0,0,75.3,75.3,85.8,67.9,8.7,0.0,0.0,25332
0.03,8.8,0,146.96,0,80.39,0,0,74.1,74.1,84.5,64.9,9.9,0.0,0.0,20789
0.89,4.0,0,87.83,0,95.33,0,0,68.0,68.0,71.9,65.6,8.6,0.0,0.0,6380
0.48,7.7,0,135.45,0,89.46,0,0,68.8,68.8,80.1,61.4,8.3,0.0,0.0,25983
1.65,7.9,0,162.61,0,92.77,0,0,68.6,68.6,79.8,63.4,6.0,0.0,0.0,12786
0.19,6.3,0,76.5,0,86.45,0,0,71.4,71.4,80.3,64.7,9.0,0.0,0.0,20355
0.16,6.2,0,108.7,0,87.49,0,0,71.4,71.4,79.9,66.1,9.3,0.0,0.0,15974
0.0,5.7,0,224.35,0,83.12,0,0,72.1,72.1,85.4,64.8,7.4,0.0,0.0,27590
0.01,7.2,0,147.57,0,79.35,0,0,72.6,72.6,84.6,63.2,8.3,0.0,0.0,27048
0.0,8.2,0,170.0,0,81.79,0,0,72.0,72.0,81.2,62.9,9.7,0.0,0.0,15339
0.0,5.7,0,191.09,0,82.63,0,0,73.6,73.6,84.2,64.7,9.2,0.0,0.0,17936
1.3,5.6,0,159.47,0,81.89,0,0,74.6,74.6,85.7,66.0,9.3,0.0,0.0,25066
0.13,6.6,0,147.58,0,84.54,0,0,73.7,73.7,83.2,66.5,7.6,0.0,0.0,24926
0.44,6.0,0,130.91,0,88.79,0,0,72.5,72.5,79.3,67.4,8.8,0.0,0.0,16861
0.68,6.1,0,154.35,0,91.92,0,0,71.5,71.5,76.6,67.7,7.4,0.0,0.0,8662
0.0,10.2,0,241.74,0,78.37,0,0,72.5,72.5,81.9,65.7,9.9,0.0,0.0,25153
0.0,10.6,0,206.25,0,77.34,0,0,71.4,71.4,81.5,63.4,9.5,0.0,0.0,26766
0.38,7.8,0,125.25,0,76.54,0,0,69.4,69.4,81.2,57.8,9.3,0.0,0.0,24008
0.15,7.0,0,232.27,0,86.77,0,0,68.9,68.9,80.0,63.5,8.5,0.0,0.0,16497
0.01,5.2,0,105.0,0,87.45,0,0,68.8,68.8,78.6,62.6,7.5,0.0,0.0,16829
